"YEAR","UNIQUE_CARRIER","ARR","DELARR","DEP","DELDEP","DIV","PUNCTUALITYARR","PUNCTUALITYDEP"
2010,"AA",540963,99108,540963,93994,1957,0.816793385129852,0.826246896737855
2010,"DL",732973,149425,732973,135324,1621,0.796138466219083,0.815376555480215
2010,"EV",319921,58295,319921,58201,617,0.81778314021274,0.818076962750179
2010,"OO",599620,111931,599620,99252,1748,0.813330109069077,0.834475167606151
2010,"WN",1124487,217213,1124487,260616,2166,0.806833693942215,0.768235648789181
2011,"AA",538179,103978,538179,98166,2024,0.806796623428265,0.817596004303401
2011,"DL",732331,118041,732331,106909,1433,0.838814688986264,0.854015465684233
2011,"EV",327845,71324,327845,68561,726,0.782445972944532,0.790873736064299
2011,"OO",587372,107213,587372,94545,1442,0.817470018999884,0.839037271099065
2011,"WN",1155717,201394,1155717,244450,2272,0.825741076751488,0.788486281676223
2012,"AA",525220,109752,525220,98157,1777,0.791036137237729,0.813112600434104
2012,"DL",726879,92829,726879,86959,1260,0.872290986532834,0.880366608472662
2012,"EV",740855,154116,740855,154289,1833,0.79197548778101,0.791741973800541
2012,"OO",617756,101231,617756,93344,1235,0.836131093829926,0.848898270514572
2012,"WN",1140535,180969,1140535,213773,1880,0.84132972683872,0.812567786170525
2013,"AA",537891,108865,537891,108776,1786,0.79760769375208,0.797773154784148
2013,"DL",754670,113157,754670,105030,1343,0.850057641088158,0.860826586455007
2013,"EV",748696,180484,748696,174362,2201,0.75893553591845,0.767112419459968
2013,"OO",626359,111864,626359,101361,1611,0.821405934935077,0.838174273858921
2013,"WN",1130704,252944,1130704,291426,2101,0.776295122330866,0.742261458348073
2014,"AA",537697,119751,537697,109406,1957,0.777289068006703,0.796528528148753
2014,"DL",800375,122489,800375,115991,1373,0.846960487271591,0.855079181633609
2014,"EV",686021,164412,686021,155334,2128,0.76033969805589,0.773572529120829
2014,"OO",613030,125024,613030,111354,1648,0.796055657961274,0.818354729784839
2014,"WN",1174633,299133,1174633,334478,2731,0.745339182536162,0.71524893307101
2015,"AA",725984,130279,725984,123739,2130,0.820548386741306,0.829556849737735
2015,"DL",875881,118023,875881,123364,1782,0.86525224317002,0.859154382844245
2015,"EV",571977,109184,571977,96997,1994,0.809111205520502,0.830418006318436
2015,"OO",588353,107795,588353,96592,1579,0.816785161289226,0.835826451127129
2015,"WN",1261855,236626,1261855,265443,3409,0.812477661854968,0.789640648093481
2016,"AA",459324,84962,459324,74372,1146,0.815028171835132,0.838083792704061
2016,"DL",454372,56812,454372,60666,850,0.874965886982473,0.86648385023725
2016,"EV",251522,39574,251522,36599,771,0.842661874507995,0.854489865697633
2016,"OO",299512,47307,299512,42526,926,0.842053072998745,0.858015705547691
2016,"WN",643370,109491,643370,118213,1601,0.829816435332701,0.816259695043288
