"YEAR","UNIQUE_CARRIER","ARR","DELARR","PUNCTUALITYARR"
2010,"AS",136950,15861,0.884184008762322
2010,"DL",732973,149425,0.796138466219083
2010,"FL",248844,39404,0.841651797913552
2010,"HA",67649,4972,0.926502978610179
2010,"YV",174797,25339,0.855037557852824
2011,"AS",143726,15615,0.891355774181429
2011,"DL",732331,118041,0.838814688986264
2011,"FL",248703,35323,0.857971154348761
2011,"HA",66740,4650,0.930326640695235
2011,"YV",156297,21691,0.861219345220958
2012,"AS",147569,16779,0.886297257554093
2012,"DL",726879,92829,0.872290986532834
2012,"FL",218162,26235,0.87974532686719
2012,"HA",74109,4798,0.935257526076455
2012,"YV",133976,18023,0.865475906132442
2013,"AS",154743,18796,0.878534085548296
2013,"DL",754670,113157,0.850057641088158
2013,"FL",173952,34131,0.803790700883002
2013,"HA",72286,4712,0.934814486899261
2013,"YV",140922,28042,0.801010488071415
2014,"AS",160257,20975,0.869116481651347
2014,"DL",800375,122489,0.846960487271591
2014,"FL",79495,13518,0.829951569281087
2014,"HA",74732,5826,0.922041428036183
2015,"AS",172521,22352,0.870438961054017
2015,"DL",875881,118023,0.86525224317002
2015,"HA",76272,8618,0.887009649674848
2016,"AS",88162,9813,0.888693541435085
2016,"DL",454372,56812,0.874965886982473
2016,"HA",37887,3030,0.920025338506612
